00f,00c,01f,01c,02f,02c,03f,03c,04f,04c,05f,05c,06f,06c
4.999999762512755,462.71356783919595,14.285713607179298,477.63819095477385,24.999998812563774,398.0402010050251,25.714284492922737,706.4824120603015,29.285712894717566,771.1557788944723,32.142855616153426,875.6281407035175,38.57142673938411,815.929648241206
5.71428544287172,457.73869346733665,14.999999287538264,368.1909547738693,25.714284492922737,388.0904522613065,26.428570173281706,616.9346733668341,29.99999857507653,741.3065326633165,32.85714129651239,830.8542713567839,39.28571241974307,761.2060301507537
6.428571123230684,373.1658291457286,15.71428496789723,368.1909547738693,26.428570173281706,378.1407035175879,27.14285585364067,582.1105527638191,30.71428425543549,701.5075376884422,33.57142697687136,791.0552763819095,39.99999810010204,726.3819095477386
7.142856803589649,403.0150753768844,16.428570648256194,358.24120603015075,27.14285585364067,378.1407035175879,27.857141533999634,547.286432160804,31.42856993579446,671.6582914572864,34.28571265723032,756.2311557788944,40.714283780461,701.5075376884422
7.857142483948615,343.31658291457285,17.14285632861516,348.29145728643215,27.857141533999634,373.1658291457286,28.571427214358597,527.3869346733668,32.142855616153426,537.3366834170854,34.99999833758928,726.3819095477386,41.428569460819965,676.6331658291457
8.57142816430758,333.36683417085425,17.857142008974126,338.34170854271355,28.571427214358597,373.1658291457286,29.285712894717566,517.4371859296482,32.85714129651239,527.3869346733668,35.71428401794825,691.5577889447236,,
9.285713844666544,313.46733668341705,18.57142768933309,343.31658291457285,29.285712894717566,368.1909547738693,29.99999857507653,517.4371859296482,33.57142697687136,527.3869346733668,36.428569698307214,671.6582914572864,,
9.99999952502551,323.41708542713565,19.285713369692054,343.31658291457285,29.99999857507653,368.1909547738693,30.71428425543549,437.83919597989944,34.28571265723032,517.4371859296482,37.14285537866618,651.7587939698492,,
10.714285205384474,318.44221105527635,19.99999905005102,338.34170854271355,,,31.42856993579446,427.88944723618084,34.99999833758928,502.5125628140703,37.857141059025146,621.9095477386934,,
11.42857088574344,313.46733668341705,20.714284730409982,338.34170854271355,,,32.142855616153426,417.9396984924623,35.71428401794825,492.5628140703517,38.57142673938411,577.1356783919598,,
12.142856566102406,313.46733668341705,21.42857041076895,338.34170854271355,,,32.85714129651239,407.9899497487437,36.428569698307214,482.61306532663315,39.28571241974307,542.3115577889447,,
12.857142246461368,288.5929648241206,,,,,33.57142697687136,407.9899497487437,37.14285537866618,477.63819095477385,39.99999810010204,527.3869346733668,,
13.571427926820334,273.6683417085427,,,,,34.28571265723032,403.0150753768844,37.857141059025146,467.68844221105525,40.714283780461,507.4874371859296,,
14.285713607179298,268.6934673366834,,,,,34.99999833758928,403.0150753768844,38.57142673938411,452.76381909547734,41.428569460819965,492.5628140703517,,
14.999999287538264,263.7185929648241,,,,,35.71428401794825,393.0653266331658,,,42.142855141178934,482.61306532663315,,
15.71428496789723,263.7185929648241,,,,,36.428569698307214,383.1155778894472,,,42.8571408215379,477.63819095477385,,
16.428570648256194,268.6934673366834,,,,,37.14285537866618,378.1407035175879,,,43.571426501896866,472.66331658291455,,
17.14285632861516,273.6683417085427,,,,,37.857141059025146,378.1407035175879,,,44.28571218225583,472.66331658291455,,
17.857142008974126,268.6934673366834,,,,,38.57142673938411,383.1155778894472,,,44.9999978626148,457.73869346733665,,
18.57142768933309,258.7437185929648,,,,,,,,,45.71428354297376,447.78894472361804,,
19.285713369692054,253.7688442211055,,,,,,,,,46.42856922333272,442.81407035175874,,
19.99999905005102,228.89447236180902,,,,,,,,,47.142854903691685,442.81407035175874,,
20.714284730409982,233.86934673366832,,,,,,,,,47.85714058405065,442.81407035175874,,
21.42857041076895,228.89447236180902,,,,,,,,,48.571426264409624,442.81407035175874,,
22.142856091127914,228.89447236180902,,,,,,,,,,,,
22.85714177148688,233.86934673366832,,,,,,,,,,,,
23.571427451845842,238.84422110552762,,,,,,,,,,,,
24.285713132204812,238.84422110552762,,,,,,,,,,,,
24.999998812563774,238.84422110552762,,,,,,,,,,,,
25.714284492922737,238.84422110552762,,,,,,,,,,,,
26.428570173281706,243.81909547738692,,,,,,,,,,,,
27.14285585364067,243.81909547738692,,,,,,,,,,,,
27.857141533999634,243.81909547738692,,,,,,,,,,,,
28.571427214358597,243.81909547738692,,,,,,,,,,,,
29.285712894717566,243.81909547738692,,,,,,,,,,,,
29.99999857507653,248.7939698492462,,,,,,,,,,,,
30.71428425543549,248.7939698492462,,,,,,,,,,,,
31.42856993579446,248.7939698492462,,,,,,,,,,,,
32.142855616153426,253.7688442211055,,,,,,,,,,,,
